アスノヨゾラ哨戒班。明日的夜空哨戒班（Cover IA）,Akie秋绘/夏璃夜,春雫。2017,235,9 MB,"F:\music\Akie秋绘,夏璃夜 - アスノヨゾラ哨戒班。明日的夜空哨戒班（Cover IA）.mp3"
エクストラ・マジック・アワー,AKINO,エクストラ・マジック・アワー,256,9 MB,F:\music\AKINO - エクストラ・マジック・アワー.mp3
Too Young,ayokay/Baker Grace,Too Young,203,7 MB,"F:\music\ayokay,Baker Grace - Too Young.mp3"
E☆Right,AYUMI KAWAKITA,WINTER LOVE,236,9 MB,F:\music\AYUMI KAWAKITA - E☆Right.mp3
あなたに愛たくて,AZU,Two of Us,277,10 MB,F:\music\AZU - あなたに愛たくて.mp3
逢うたび好きになって,BRIGHT,BRIGHT,252,10 MB,F:\music\BRIGHT - 逢うたび好きになって.mp3
FAKE LOVE (Japanese Version),BTS (防弹少年团),FAKE LOVE / Airplane pt.2,245,9 MB,F:\music\BTS (防弹少年团) - FAKE LOVE (Japanese Version).mp3
Good Morning World!,BURNOUT SYNDROMES,Good Morning World!,249,9 MB,F:\music\BURNOUT SYNDROMES - Good Morning World!.mp3
Hero,Cash Cash/Christina Perri,"Blood, Sweat & 3 Years",198,7 MB,"F:\music\Cash Cash,Christina Perri - Hero.mp3"
Stigmata,Ceui,イメージアルバム 穢翼のユースティア 夢想曲(トロイメライ) ~Seeking Asphodelus~,307,11 MB,F:\music\Ceui - Stigmata.mp3
